x,y,Umbilicaria_decussata cloglog values
-2607587.71966267,1461515.21524767,0.16873004
-2603496.23730889,1468791.26578778,0.24925713
-2602697.97698651,1472535.66522335,0.32653317
-2604498.89562615,1469350.33484416,0.24925713
-2608634.42311897,1462098.88580244,0.17493786
-2607046.80863557,1470337.91835284,0.3329563
-2611823.09198523,1465686.76215968,0.22295906
-2612943.12457828,1466297.30537869,0.22295906
-2614429.94657257,1467604.49570989,0.18974572
-2620433.75452594,1492864.44808369,0.34708735
-2648500.16999791,1461067.71910527,0.07707977
-2648491.47089057,1462863.16547308,0.09401532
-2637142.22053082,1485074.72094761,0.3580545
-2637257.78256766,1486018.38973212,0.35250822
-2651421.07832981,1461882.42450565,0.07122063
-2638008.25441586,1486319.33424456,0.35741007
-2651621.60590745,1466721.82541937,0.11833864
-2627427.70878412,1531313.25936755,0.30108687
-2659613.45782835,1486117.76466862,0.33601624
-2642487.90527909,1548050.44585207,0.21045245
-2629291.85993771,1594350.95432252,0.23536141
-2636457.20595481,1584306.14543511,0.090660505
-2622330.67019436,1608871.94993408,0.3173026
-2635583.58800009,1587795.3178861,0.07702088
-2638160.29845032,1588728.30762292,0.07437777
-2628706.73933532,1612447.90796136,0.2911977
-2620726.08303668,1629367.76724344,0.31527293
-2621389.1922312,1629273.2217309,0.31527293
-2621518.01954448,1629150.9605039,0.31527293
-2621894.23492034,1628800.59516605,0.31527293
-2621739.64897029,1629110.46020654,0.31527293
-2621793.76223614,1629064.802271,0.31527293
-2621885.71042626,1629008.40107255,0.31527293
