x,y,Acarospora_gwynnii cloglog values
-2450041.57912444,1515150.24859411,0.2552819
-2428094.60530231,1555591.34174238,0.28998718
-2604271.68776354,1465251.46901134,0.021912279
-2603496.23730889,1468791.26578778,0.026811576
-2629291.85993771,1594350.95432252,0.008575621
-1843636.30888502,735275.223204422,0.3429104
-1849856.55777235,734278.030476415,0.46929103
-1900701.59319288,757149.674942628,0.37471294
-1840544.78595043,991030.017111752,0.97085977
-1867103.35669391,940317.971430153,0.92106134
-1868457.18671558,939526.871053886,0.91372377
-1961486.46508661,731215.048718033,0.4166176
-1952193.54336681,772159.646010498,0.32106397
-1972895.08487135,734268.954377713,0.43941346
-1984548.20569251,734594.191365371,0.39307693
-1950250.62663821,958522.118851677,0.7285579
-2048265.22535679,775963.496306165,0.2496985
-2094296.77562739,719905.205748401,0.26338753
-2127540.84042362,706977.399465735,0.2710038
-2003730.89476826,1016540.14871756,0.6288736
-2006918.4862261,1018182.83420008,0.62596256
-1440614.72697308,526282.246945053,0.9529538
-1442897.62846964,547969.9555353,0.966493
-1519355.57878751,474706.796747827,0.75351274
-1572032.91421327,523327.911261167,0.74710476
-2290073.84320192,905614.335817293,0.121734716
-2629291.85993771,1594350.95432252,0.008575621
-2623592.19618942,1610867.63855787,0.023965077
-2638160.29845032,1588728.30762292,0.013334746
-2149428.99057318,565434.123810298,0.15478586
-2635923.7667323,1588071.11204761,0.013604372
-2649990.41394982,1466870.72188996,0.01593421
-2649990.41394982,1466870.72188996,0.01593421
-2649990.41394982,1466870.72188996,0.01593421
-2649990.41394982,1466870.72188996,0.01593421
-2629291.85993771,1594350.95432252,0.008575621
-2443122.76353586,1536655.01720342,0.24889545
-2206578.64868848,935936.290083548,0.07183824
-2236307.6474816,960401.99998949,0.2364195
-2310889.20283209,918990.852538654,0.15788107
-2411000.11326015,1280652.5755956,0.2461452
-2425869.99450772,1424137.45995515,0.32023963
-2373746.05582349,1539364.38301671,0.51450217
-2373126.50386733,1542304.36752783,0.41990867
-2391146.01774783,1533321.04209017,0.38581234
-2445421.3658215,1457127.45448814,0.30370098
-2437066.58042634,1474103.51038016,0.28987372
-2456913.79421353,1494367.98906464,0.2848221
-2429739.20693984,1546836.91034594,0.29273775
-2439541.85916477,1537641.39117453,0.2528411
-2443122.76353586,1536655.01720342,0.24889545
-2451124.27523191,1525607.39458483,0.24508192
-2464741.83092896,1547158.49485657,0.17680475
-2457620.64051292,1593518.46531355,0.194438
-2458972.03111232,1592607.32894605,0.1787689
-2460259.19549089,1594594.44584788,0.1831241
-2466554.81248622,1590975.0322166,0.17736325
-2476097.67218783,1577083.68015131,0.20165983
-2464291.43968807,1599107.48879386,0.13730694
-2465262.57705245,1599737.05971877,0.13730694
-2464815.50827519,1601390.4870103,0.048610423
-2465962.32168873,1599836.41366826,0.13730694
-2465624.88991117,1601617.71226252,0.048610423
-2484380.55752057,1577556.8702716,0.1839991
-2442689.87437761,1661115.64464722,0.045309935
-2196790.82032094,926671.079541102,0.17683573
-2205508.1238483,934771.498940679,0.078840554
-2206578.64868848,935936.290083548,0.07183824
-2214972.26818934,930253.07422458,0.015604166
-2216494.10112602,929430.370789422,0.015604166
-2215534.89125432,932672.24057834,0.033809036
-2216582.41594148,939327.353154662,0.18028767
-2222698.79933601,934336.541434468,0.14050876
-2222360.74452202,935163.554313877,0.14050876
-2223458.74678491,934445.946818003,0.14050876
-2235182.3798632,938225.670425898,0.15258628
-2245507.80580756,943984.056104864,0.1480636
-2276694.71128246,903329.086350651,0.029048422
-2277068.01772189,902519.18509296,0.029048422
-2260304.48547678,953581.513763295,0.03423372
-2285926.96358424,891934.716240996,0.16689204
-2268927.17762605,939203.884285848,0.25602946
-2261517.33407193,957284.440556591,0.016054036
-2290073.84320192,905614.335817293,0.121734716
-2287639.9844075,914527.603820092,0.0342478
-2287639.9844075,914527.603820092,0.0342478
-2276132.97823141,945929.629352642,0.1394063
-2289882.86905365,919821.432855136,0.09106672
-2290888.66413929,918253.475245578,0.08918529
-2273352.98975803,964981.092507093,0.017998066
-2274530.23964265,962202.948389309,0.0153633375
-2310889.20283209,918990.852538654,0.15788107
-2327110.48288228,931728.196652567,0.26199716
-2278379.50582039,1189084.43868482,0.27691552
-2285173.99325334,1187653.05848885,0.21048531
-2331141.05526458,1158202.88196822,0.12891266
-2337873.14159047,1176819.68942824,0.16439147
-2332226.42228327,1192441.67155438,0.1816411
-2329929.03594441,1203410.74121387,0.28828296
-2449434.10963524,1186664.35187042,0.021501733
-2453029.60954493,1190328.37000344,0.041676573
